Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
OECD Env-Growth,SSP1_v9_130325,ABW,GDP|PPP per capita,Annual Average Growth [%],,2.174,4.245,4.308,5.064,5.823,5.882,5.951,5.523,5.217,4.892,4.582,4.264,3.991,3.747,3.394,3.218,2.992,2.83,2.688
OECD Env-Growth,SSP2_v9_130325,ABW,GDP|PPP per capita,Annual Average Growth [%],,2.174,4.245,3.983,4.172,4.332,4.177,4.215,4.268,4.164,4.141,3.991,3.912,3.809,3.666,3.537,3.438,3.05,3.073,2.869
OECD Env-Growth,SSP3_v9_130325,ABW,GDP|PPP per capita,Annual Average Growth [%],,2.174,4.115,3.646,3.636,3.444,2.864,3.086,2.878,2.776,2.722,2.712,2.567,2.625,2.535,2.442,2.392,2.174,2.222,2.12
OECD Env-Growth,SSP4_v9_130325,ABW,GDP|PPP per capita,Annual Average Growth [%],,2.174,4.245,4.308,5.181,5.834,6.092,6.035,5.621,5.358,5.067,4.798,4.377,4.097,3.974,3.748,3.31,3.136,3.016,2.953
OECD Env-Growth,SSP5_v9_130325,ABW,GDP|PPP per capita,Annual Average Growth [%],,2.174,4.372,4.528,5.895,7.237,7.452,6.865,6.475,5.985,5.52,5.229,4.713,4.484,4.177,4.046,3.685,3.553,3.348,3.164
OECD Env-Growth,SSP1_v9_130325,AFG,GDP|PPP per capita,Annual Average Growth [%],,7.911,2.599,2.113,3.716,5.059,5.851,6.208,6.266,6.117,5.811,5.429,5.002,4.578,4.188,3.833,3.504,3.214,2.969,2.742
OECD Env-Growth,SSP2_v9_130325,AFG,GDP|PPP per capita,Annual Average Growth [%],,7.911,2.599,1.919,2.689,3.099,3.372,3.742,4.016,4.203,4.283,4.292,4.284,4.274,4.223,4.132,4.023,3.893,3.763,3.621
OECD Env-Growth,SSP3_v9_130325,AFG,GDP|PPP per capita,Annual Average Growth [%],,7.911,2.599,1.849,2.046,2.064,2.141,2.367,2.477,2.493,2.505,2.497,2.495,2.472,2.403,2.294,2.164,2.057,1.97,1.911
OECD Env-Growth,SSP4_v9_130325,AFG,GDP|PPP per capita,Annual Average Growth [%],,7.911,2.599,1.83,1.994,1.907,1.784,1.926,1.985,1.971,1.968,1.95,1.94,1.916,1.854,1.761,1.662,1.593,1.549,1.536
OECD Env-Growth,SSP5_v9_130325,AFG,GDP|PPP per capita,Annual Average Growth [%],,7.911,2.599,2.157,4.129,5.971,6.984,7.214,7.131,6.864,6.471,6.029,5.56,5.107,4.706,4.364,4.045,3.766,3.532,3.315
OECD Env-Growth,SSP1_v9_130325,AGO,GDP|PPP per capita,Annual Average Growth [%],6.26,9.043,2.48,3.658,1.252,0.891,0.809,1.695,2.833,3.709,4.131,4.248,4.146,3.903,3.613,3.317,3.027,2.773,2.545,2.324
OECD Env-Growth,SSP2_v9_130325,AGO,GDP|PPP per capita,Annual Average Growth [%],6.26,9.043,2.48,3.21,0.459,-0.424,-1.035,-0.3,0.871,1.978,2.783,3.281,3.567,3.676,3.681,3.583,3.441,3.31,3.166,3.029
OECD Env-Growth,SSP3_v9_130325,AGO,GDP|PPP per capita,Annual Average Growth [%],6.26,9.043,2.48,2.847,0.188,-0.78,-1.745,-1.836,-1.303,-0.446,0.377,1.011,1.465,1.743,1.891,1.932,1.907,1.886,1.845,1.83
