Index,LocID,Location,ISO3_Code,LocType,LocTypeName,RegID,RegName,AreaID,AreaName,MoreDev,LessDev,LeastDev,oLessDev,WPPAIDS,HIVprev2011,HIVprev11_LT01,HIVprev11_0105,HIVprev11_0510,HIVprev11_1020,HIVprev11_GT20,MaxHIV,YearMaxHIV,LagYearMaxHIV,HIV2009_UNAIDS2010,HIV2009_UNAIDS2012,HIV2009_PercDiff,TotPop2013LessThan90k
1,900,WORLD,,0,Special groupings,900,World,900,World,,,,,,,,,,,,,,,,,,
2,901,More developed regions,,5,Development group,901,More developed regions,900,World,,,,,,,,,,,,,,,,,,
3,902,Less developed regions,,5,Development group,902,Less developed regions,900,World,,,,,,,,,,,,,,,,,,
4,941,Least developed countries,,5,Development group,941,Least developed countries,902,Less developed regions,,,,,,,,,,,,,,,,,,
5,934,"Less developed regions, excluding least developed countries",,5,Development group,934,"Less developed regions, excluding least developed countries",902,Less developed regions,,,,,,,,,,,,,,,,,,
6,948,"Less developed regions, excluding China",,12,Special groupings,948,"Less developed regions, excluding China",902,Less developed regions,,,,,,,,,,,,,,,,,,
7,947,Sub-Saharan Africa,,12,Special groupings,947,Sub-Saharan Africa,902,Less developed regions,,,,,,,,,,,,,,,,,,
8,903,AFRICA,,2,Major Area,903,Africa,900,World,,,,,,,,,,,,,,,,,,
9,910,Eastern Africa,,3,Region,910,Eastern Africa,903,Africa,,,,,,,,,,,,,,,,,,
10,108,Burundi,BDI,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,1.57,0,1,0,0,0,5.14,1996,15,3.3,1.34,-59.39393939,0
11,174,Comoros,COM,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,0,0.05696,1,0,0,0,0,0.06666,2011,0,0.1,0.06666,-33.34,0
12,262,Djibouti,DJI,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,1.63,0,1,0,0,0,2.76,1999,12,2.5,1.44,-42.4,0
13,232,Eritrea,ERI,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,0,0.69328,1,0,0,0,0,1.09,1999,12,0.8,0.63014,-21.2325,0
14,231,Ethiopia,ETH,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,1.71,0,1,0,0,0,3.71,1999,12,,1.44,,0
15,404,Kenya,KEN,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,1,6.23,0,0,1,0,0,9.83,1997,14,6.3,6.15,-2.380952381,0
16,450,Madagascar,MDG,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,0,0.28532,1,0,0,0,0,0.29289,2011,0,0.2,0.29289,46.445,0
17,454,Malawi,MWI,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,10.91,0,0,0,1,0,13.84,2001,10,11,10.01,-9,0
18,480,Mauritius,MUS,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,0,1.04,0,1,0,0,0,1.12,2005,6,1,0.97162,-2.838,0
19,175,Mayotte,MYT,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,0,,,,,,,,,,,,,0
20,508,Mozambique,MOZ,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,11.09326026,0,0,0,1,0,11.09326026,2009,2,11.5,11.06714845,-3.763926542,0
21,638,Réunion,REU,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,0,,,,,,,,,,,,,0
22,646,Rwanda,RWA,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,3,0,1,0,0,0,5.82,1989,22,2.9,2.91,0.344827586,0
23,690,Seychelles,SYC,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,0,,,,,,,,,,,,,0
24,706,Somalia,SOM,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,0,0.7046,1,0,0,0,0,0.8556,1998,13,0.7,0.66391,-5.155714286,0
25,728,South Sudan,SSD,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,3.06,0,1,0,0,0,3.06,2008,3,,3.05,,0
26,800,Uganda,UGA,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,6.85,0,0,1,0,0,13.59,1989,22,6.5,7.15,10,0
27,834,United Republic of Tanzania,TZA,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,5.75,0,0,1,0,0,8.36,1996,15,5.6,5.78,3.214285714,0
28,894,Zambia,ZMB,4,Country/Area,910,Eastern Africa,903,Africa,0,1,1,0,1,12.9,0,0,0,1,0,14.86,1993,18,13.5,12.53,-7.185185185,0
29,716,Zimbabwe,ZWE,4,Country/Area,910,Eastern Africa,903,Africa,0,1,0,1,1,15.66,0,0,0,1,0,27.3,1998,13,14.3,14.83,3.706293706,0
30,911,Middle Africa,,3,Region,911,Middle Africa,903,Africa,,,,,,,,,,,,,,,,,,
31,24,Angola,AGO,4,Country/Area,911,Middle Africa,903,Africa,0,1,1,0,1,2.06,0,1,0,0,0,2.1,2011,0,2,2.1,5,0
32,120,Cameroon,CMR,4,Country/Area,911,Middle Africa,903,Africa,0,1,0,1,1,4.77,0,1,0,0,0,5.18,2003,8,5.3,4.58,-13.58490566,0
33,140,Central African Republic,CAF,4,Country/Area,911,Middle Africa,903,Africa,0,1,1,0,1,5.11,0,0,1,0,0,9.46,1995,16,4.7,4.59,-2.340425532,0
34,148,Chad,TCD,4,Country/Area,911,Middle Africa,903,Africa,0,1,1,0,1,3.18,0,1,0,0,0,3.72,1999,12,3.4,3.13,-7.941176471,0
35,178,Congo,COG,4,Country/Area,911,Middle Africa,903,Africa,0,1,0,1,1,3.25,0,1,0,0,0,5.23,1992,19,3.4,3.28,-3.529411765,0
36,180,Democratic Republic of the Congo,COD,4,Country/Area,911,Middle Africa,903,Africa,0,1,1,0,0,1.33,0,1,0,0,0,1.55,1998,13,[1.2 – 1.6],1.27,,0
37,226,Equatorial Guinea,GNQ,4,Country/Area,911,Middle Africa,903,Africa,0,1,1,0,1,4.17,0,1,0,0,0,4.67,2011,0,5,4.67,-6.6,0
